34.227.110.80 - - [04/Apr/2026:02:52:49 +0000] "GET / HTTP/1.1" 504 176 "-" "curl/8.5.0"
147.182.149.75 - - [04/Apr/2026:03:00:44 +0000] "GET /.git/config HTTP/1.1" 404 2774 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:45 +0000] "POST /graphql HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:46 +0000] "POST /api HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:46 +0000] "POST /api/graphql HTTP/1.1" 404 2774 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:46 +0000] "POST /graphql/api HTTP/1.1" 404 2774 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:46 +0000] "POST /api/gql HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
147.182.149.75 - - [04/Apr/2026:03:00:46 +0000] "GET /s/0383e2031313e2732323e24333/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 2774 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
34.122.147.229 - - [04/Apr/2026:03:00:47 +0000] "GET / HTTP/1.1" 200 2925 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
34.122.147.229 - - [04/Apr/2026:03:00:47 +0000] "GET /_next/static/media/797e433ab948586e-s.p.0.q-h669a_dqa.woff2 HTTP/1.1" 200 31288 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
147.182.149.75 - - [04/Apr/2026:03:00:47 +0000] "GET /config.json HTTP/1.1" 404 2779 "-" "Mozilla/5.0 (l9scan/2.0.0383e2031313e2732323e24333; +https://leakix.net)"
34.72.176.129 - - [04/Apr/2026:03:00:47 +0000] "GET /_next/static/chunks/0vjzrvtg1af.6.css HTTP/1.1" 200 1049 "https://app.ximples.com.br/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
